Company,Address,Mailing City,State,Zip Code,Last Name,First Name,Phone Number Combined,Primary SIC Code Description,Location Sales Volume Range,SIC Code 1 ,SIC Code Description 1,Lead Status
"Cardenas, Luis Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Cardenas,Luis,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Carey, Katharine Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Carey,Katharine,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Carl A Gravell Agency,101 Crofton Ave # 101,San Antonio,TX,78210,,,(210) 822-4472,Insurance,"Less Than $500,000",6411-12,Insurance,
Carl A Gravell Agency,8602 Crownhill Blvd # 101,San Antonio,TX,78209,Gravell,Carl,(210) 822-4472,Insurance,"Less Than $500,000",6411-12,Insurance,
Carl Burton Insurance,9410 Anderson Mill Rd # B,Austin,TX,78729,Kinsey,Amber,(512) 258-4197,Insurance,"Less Than $500,000",6411-12,Insurance,
"Carl, Kelly Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Carl,Kelly,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Carleton Financial Svc,10635 N Interstate 35 # 304,San Antonio,TX,78233,Carleton,Scott,(210) 653-2342,Insurance,"Less Than $500,000",6411-12,Insurance,
Carlos Garcia Insurance,1255 SW Military Dr,San Antonio,TX,78221,Garcia,Carlos,(210) 923-6920,Insurance,"$500,000-1 Million",6411-12,Insurance,
Carlos Garcia Insurance,4715 Fredericksburg Rd # 522,San Antonio,TX,78229,Garcia,C,(210) 342-3866,Insurance,"Less Than $500,000",6411-12,Insurance,
Carlos Garcia Insurance,6325 San Pedro Ave # 2,San Antonio,TX,78216,Garcia,Carlos,(210) 341-9904,Insurance,"Less Than $500,000",6411-12,Insurance,
Carlos Garcia Insurance Agency,8121 Latigo Plz,San Antonio,TX,78227,Garcia,Carlos,(210) 645-1470,Insurance,"$500,000-1 Million",6411-12,Insurance,
Carlson Law Firm PC,11606 N Interstate 35,Austin,TX,78753,Hampton,Carissa,(512) 346-5688,Insurance-Property & Casualty,$5-10 Million,6331-01,Insurance-Property & Casualty,
"Carmody, Daniel Agt",1739 Citadel Plz,San Antonio,TX,78209,Carmody,Daniel,(210) 821-5080,Insurance,"Less Than $500,000",6411-12,Insurance,
Carnahan Insurance First Agcy,1739 Eagle Pt,San Antonio,TX,78248,Carnahan,Jerry,(210) 492-8188,Insurance,"Less Than $500,000",6411-12,Insurance,
Carnahan Insurance Group,601 Embassy Oaks # 101,San Antonio,TX,78216,Edge,Michael,(210) 402-0288,Insurance,$5-10 Million,6411-12,Insurance,
"Carr, Casey Agt",5222 Burnet Rd # 150,Austin,TX,78756,Carr,Casey,(512) 653-1073,Insurance,"Less Than $500,000",6411-12,Insurance,
"Carr, Charles Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Carr,Charles,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Carrizales, Diana Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Carrizales,Diana,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Carter Insurance,2718 Oak Leigh St,San Antonio,TX,78232,Carter,Ruth,(210) 490-6100,Insurance,"Less Than $500,000",6411-12,Insurance,
Carter's Insurance,10200 Highway 290 W,Austin,TX,78736,Carter,Eddie,(512) 402-9000,Insurance,"Less Than $500,000",6411-12,Insurance,
"Cartier, Kira Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Cartier,Kira,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Casa Guero,8527 Blanco Rd,San Antonio,TX,78216,Llanos,Melinda,(210) 348-0045,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Casarez, Lisa Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Casarez,Lisa,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Casarez, Mylisa Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Casarez,Mylisa,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Case Humble, Marya Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Case Humble,Marya,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Casias, Steven Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Casias,Steven,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Casso, David Agt",9800 Fredericksburg Rd,San Antonio,TX,78240,Casso,David,(210) 456-4540,Insurance,"Less Than $500,000",6411-12,Insurance,
Castaneda Insurance,127 Goliad Rd,San Antonio,TX,78223,,,(210) 696-2723,Insurance,"Less Than $500,000",6411-12,Insurance,
"Castillo, Angela Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Castillo,Angela,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Castillo, Donna Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Castillo,Donna,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Castillo, Gilbert Agt",9800 Fredericksburg Rd # Lfb1e,San Antonio,TX,78288,Castillo,Gilbert,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Castillo, Jessica Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Castillo,Jessica,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Castillo, Maria Agt",9800 Fredericksburg Rd # 2101,San Antonio,TX,78288,Castillo,Maria,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Castle Insurance,1011 NW Loop 410 # 201,San Antonio,TX,78213,Colyer,Shirley,(210) 341-6337,Insurance,$1-2.5 Million,6411-12,Insurance,
"Castro, Isabel Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Castro,Isabel,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Castro, Luis Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Castro,Luis,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Cather Ins Agency LLC-Nationwi,1601 W 6th St # A2,Austin,TX,78703,Conder,Charles,(512) 480-5070,Insurance,"Less Than $500,000",6411-12,Insurance,
Catholic Family Fraternal-TX,4604 E Ben White Blvd,Austin,TX,78741,Ulcak,Lucile,(512) 444-9586,Insurance,"$500,000-1 Million",6411-12,Insurance,
Catholic Mutual Group,8918 Tesoro Dr,San Antonio,TX,78217,,,(210) 832-8517,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Catron, David Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Catron,David,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Catto Benefits Group LLP,217 E Houston St # 100,San Antonio,TX,78205,Finke,Susan,(210) 222-2161,Insurance,"Less Than $500,000",6411-12,Insurance,
Catto Benefits Group LLP,217 E Houston St # 100,San Antonio,TX,78205,Hayne,James L,(210) 222-2161,Insurance,"Less Than $500,000",6411-12,Insurance,
"Cavazos, Gina Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Cavazos,Gina,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Cazares, Mary Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Cazares,Mary,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
CBG The Benefit Group,PO Box 795008,San Antonio,TX,78279,Humada,Frank,(210) 340-6800,Insurance,"$500,000-1 Million",6411-12,Insurance,
Ccmc Group,PO Box 40600,San Antonio,TX,78229,Cangelosi,Sam,(210) 949-9100,Insurance,$20-50 Million,6411-12,Insurance,
CDJ Integra Insurance Svc,18545 Sigma Rd # 105,San Antonio,TX,78258,Cardenas,James,(210) 378-9534,Insurance,"Less Than $500,000",6411-12,Insurance,
"Ceasar, Shambia Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Ceasar,Shambia,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Ceba,6300 Bridge Point Pkwy # 3-500,Austin,TX,78730,Boon,Sterling,(512) 339-4449,Insurance,$2.5-5 Million,6411-12,Insurance,
Cenizo Flats Apartments,33 Lynn Batts Ln,San Antonio,TX,78218,Tinn,Kimberly,(210) 820-8200,Insurance,"$500,000-1 Million",6411-12,Insurance,
Central Insurance,6000 N Lamar Blvd # 100,Austin,TX,78752,Raper,James,(512) 451-6551,Insurance,$2.5-5 Million,6411-12,Insurance,
Central Insurance,3615 Nogalitos,San Antonio,TX,78211,,,(210) 922-4700,Insurance,"$500,000-1 Million",6411-12,Insurance,
Central Insurance Agency,PO Box 15427,Austin,TX,78761,Pelaez,Pete,(512) 451-6551,Insurance,"Less Than $500,000",6411-12,Insurance,
Central Insurance Inc,8401 Research Blvd # B-183,Austin,TX,78758,,,(512) 837-3400,Insurance,"$500,000-1 Million",6411-12,Insurance,
Central Insurance Inc,8401 Research Blvd # B-183,Austin,TX,78758,Pelaez,Pete,(512) 837-3400,Insurance,"Less Than $500,000",6411-12,Insurance,
Cervallos Insurance,PO Box 241120,San Antonio,TX,78224,Salazar,Orlando,(210) 927-7766,Insurance,"Less Than $500,000",6411-12,Insurance,
Cevallos Insurance,2122 Commercial Ave,San Antonio,TX,78221,Salazar,Orlando,(210) 921-0161,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Chandler, Sandra Agt",7400 Blanco Rd,San Antonio,TX,78216,Chandler,Sandra,(210) 525-0243,Insurance,"Less Than $500,000",6411-12,Insurance,
"Chapa Jr, Ignacio Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Chapa Jr,Ignacio,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Chaparral Insurance Group,5900 Balcones Dr # 205,Austin,TX,78731,Kuhlman,Dennis,(512) 452-2427,Insurance,"Less Than $500,000",6411-12,Insurance,
Chaparral Insurance Group,911 W Anderson Ln # 119,Austin,TX,78757,Kuhlman,Dennis,(512) 452-2427,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Chapman, David Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Chapman,David,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Charles E Ward Jr Insurance,119 Crestview Dr,San Antonio,TX,78201,Ward,Charles,(210) 734-6145,Insurance,"$500,000-1 Million",6411-12,Insurance,
Charles J Bubel Insurance,6011 Broadway St # 201,San Antonio,TX,78209,Bubel,Charles J,(210) 656-2894,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Charles R Myers Insurance,13300 Old Blanco Rd # 100,San Antonio,TX,78216,Myers,Charlie,(210) 384-0124,Insurance,"$500,000-1 Million",6411-12,Insurance,
Charles Wilson & Assoc,4040 Broadway St,San Antonio,TX,78209,Wilson,Charles,(210) 832-8220,Insurance,"Less Than $500,000",6411-12,Insurance,
"Charles, Steven Agt",2809 Thousand Oaks Dr,San Antonio,TX,78232,Charles,Steven,(210) 494-6939,Insurance,"Less Than $500,000",6411-12,Insurance,
Charlie Anderson State Farm,12710 Research Blvd # 210,Austin,TX,78759,Rogers,Crystal,(512) 258-2231,Insurance,"Less Than $500,000",6411-12,Insurance,
"Chase, Alan Agt",PO Box 781487,San Antonio,TX,78278,Chase,Alan,(210) 348-6090,Insurance,"Less Than $500,000",6411-12,Insurance,
"Chase, Chris Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Chase,Chris,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Chatman, Donise Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Chatman,Donise,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Chavez, Angelica Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Chavez,Angelica,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Chavez, Audrey Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Chavez,Audrey,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Cherry, Yolunda Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Cherry,Yolunda,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Chesney, Chaz Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Chesney,Chaz,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Chetwood Insurance Brokers,7127 Quail Gdns # 1,San Antonio,TX,78250,,,(210) 520-4228,Insurance,"Less Than $500,000",6411-12,Insurance,
"Chetwood, Christopher Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Chetwood,Christopher,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Chetwood, Rosita Agt",7330 San Pedro Ave # 150,San Antonio,TX,78216,Chetwood,Rosita,(210) 738-3537,Insurance,"Less Than $500,000",6411-12,Insurance,
Chicago Title Insurance Co,,Austin,TX,78746,,,(512) 314-3200,Title Companies,"$500,000-1 Million",6411-12,Insurance,
Chris Ortiz Insurance Agency,812 Lockhill Selma Rd,San Antonio,TX,78213,,,(210) 236-7410,Insurance,"$500,000-1 Million",6411-07,Insurance-Homeowners,
Chris Waggoner Insurance,3301 Northland Dr # 212,Austin,TX,78731,Waggoner,Chris,(512) 458-2957,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Christenberry, Yolo Agt",1700 N Interstate 35,San Antonio,TX,78208,Christenberry,Yolo,(210) 299-1040,Insurance,"Less Than $500,000",6411-12,Insurance,
Chubb Group Of Insurance Co,919 Congress Ave,Austin,TX,78701,,,(512) 473-3729,Insurance,$10-20 Million,6411-12,Insurance,
Church At Faithwalk Fellowship,18011 Redriver Sky,San Antonio,TX,78259,Irwin,Peggy,(210) 404-4004,Insurance,"$500,000-1 Million",6411-12,Insurance,
CIG Of Texas Insurance,3295 Wurzbach Rd,San Antonio,TX,78238,Cantu,Armando J,(210) 496-9169,Insurance,$2.5-5 Million,6411-12,Insurance,
Cigna,7600 N Capital Of TX Hwy #B335,Austin,TX,78731,Tucker,Michael,(512) 241-8778,Insurance,$1-2.5 Million,6411-12,Insurance,
Cindy Hutchinson Agency,5509 Balcones Dr,Austin,TX,78731,Johnson,Christine,(512) 459-5363,Insurance,"Less Than $500,000",6411-12,Insurance,
Cirrus Logic Inc,800 W 6th St,Austin,TX,78701,Thomas,Gregory,(512) 851-4000,Insurance,"Less Than $500,000",6411-12,Insurance,
"Cirtaus, Tommy Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Cirtaus,Tommy,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Citizens Inc,PO Box 149151,Austin,TX,78714,Riley,Harold E,(512) 837-7100,Insurance,,6411-12,Insurance,
City Base Insurance,1121 SW Military Dr # 106,San Antonio,TX,78221,Ramirez,Tom,(210) 533-8571,Insurance,"Less Than $500,000",6411-12,Insurance,
Claire Covin Insurance Svc,5850 Binz Engleman Rd,San Antonio,TX,78244,Covin,Claire,(210) 310-2340,Insurance,"Less Than $500,000",6411-12,Insurance,
"Clark, Juan Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Clark,Juan,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Clark, Thomas Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Clark,Thomas,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Clements, Stephanie Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Clements,Stephanie,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Cleto Insurance & Income,1131 Gillette Blvd,San Antonio,TX,78224,Cleto,Mary Ann,(210) 922-2900,Insurance,"Less Than $500,000",6411-12,Insurance,
"Clouse, Mike Agt",9203 Granada Hills Dr,Austin,TX,78737,Clouse,Mike,(512) 301-2955,Insurance,"Less Than $500,000",6411-12,Insurance,
CLS Partners,3600 N Cp Of TX Hwy # 100,Austin,TX,78746,Scott,Clint,(512) 306-9300,Insurance,$2.5-5 Million,6411-12,Insurance,
CNA,7959 Fredericksburg Rd # 135,San Antonio,TX,78229,,,(210) 616-0060,Insurance,$1-2.5 Million,6411-12,Insurance,
"Coats, Charles Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Coats,Charles,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Coben, Michael Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Coben,Michael,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Cochran, Chad Agt",1020 NE Loop 410 # 300,San Antonio,TX,78209,Cochran,Chad,(210) 829-1000,Insurance,"Less Than $500,000",6411-12,Insurance,
Coface North America,4414 Centerview,San Antonio,TX,78228,,,(210) 737-0400,Insurance,"$500,000-1 Million",6411-08,Insurance-Group,
"Cohen, Teresa Agt",9830 Colonnade Blvd # 400,San Antonio,TX,78230,Cohen,Teresa,(210) 735-2048,Insurance,"Less Than $500,000",6411-12,Insurance,
"Coldiron, Andrew Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Coldiron,Andrew,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Cole, Albert Agt",,San Antonio,TX,78209,Cole,Albert,(210) 260-5218,Insurance,"Less Than $500,000",6411-12,Insurance,
"Collins, Maleika Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Collins,Maleika,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Colonial Life & Accident Ins,1106 Clayton Ln,Austin,TX,78723,,,(512) 420-9911,Insurance,$1-2.5 Million,6411-12,Insurance,
Colonial Life & Accident Ins,16410 Blanco Rd # 4,San Antonio,TX,78232,Snyder,Tom,(210) 492-6330,Insurance,$1-2.5 Million,6411-12,Insurance,
Colonial Life & Accident Ins,9385 Miller Ln,San Antonio,TX,78266,Snyder,Tom,(210) 492-0000,Insurance,$1-2.5 Million,6411-12,Insurance,
Colonial Life Insurance,8546 Broadway St # 210,San Antonio,TX,78217,,,(210) 599-8594,Insurance,"$500,000-1 Million",6411-12,Insurance,
Colonial Supplemental Ins,1106 Clayton Ln # 285w,Austin,TX,78723,Miller,Les,(512) 420-9911,Insurance,$1-2.5 Million,6411-12,Insurance,
Colonial Supplemental Ins,13740 N Highway 183,Austin,TX,78750,Winrich,Karen,(512) 452-8205,Insurance,"$500,000-1 Million",6411-12,Insurance,
Colonial Supplemental Ins,4830 West Ave # 101,San Antonio,TX,78213,Cobb,Tim,(210) 599-8550,Insurance,$2.5-5 Million,6411-12,Insurance,
Colony Specialty,175 E Houston St # 1300,San Antonio,TX,78205,Pilkington,Dale,(210) 321-8400,Insurance,,6411-12,Insurance,
Columbia Insurance Group,3420 Executive Center Dr # 200,Austin,TX,78731,Smith,Byron,(512) 345-7500,Insurance,$5-10 Million,6411-12,Insurance,
Colyer Insurance,1046 E Highland Blvd,San Antonio,TX,78210,Colyer,Carl,(210) 735-1499,Insurance,"Less Than $500,000",6411-12,Insurance,
Colyer Insurance,4311 W Interstate 10,San Antonio,TX,78201,Colyer,Carl,(210) 735-1499,Insurance,"Less Than $500,000",6411-12,Insurance,
Colyer Insurance Agency,1405 Bandera Rd,San Antonio,TX,78228,Colyer,Carl,(210) 431-9699,Insurance,"Less Than $500,000",6411-12,Insurance,
Combined Agents Of America LLC,6805 N Captl TX Hwy # 250,Austin,TX,78731,Luttr,Roger,(512) 231-0117,Insurance,"$500,000-1 Million",6411-12,Insurance,
Community First Health Plans,12238 Silicon Dr # 100,San Antonio,TX,78249,Bishop,Stephen,(210) 227-2347,Insurance,$20-50 Million,6411-12,Insurance,
Community Income Tax,4122 E 12th St,Austin,TX,78721,,,(512) 524-0006,Insurance,"$500,000-1 Million",6411-12,Insurance,
Compensation Organization Sltn,PO Box 26335,Austin,TX,78755,Mullen,Constance,(512) 338-8187,Insurance,"$500,000-1 Million",6411-12,Insurance,
Complete Insurance Group,1923 Culebra Rd # B,San Antonio,TX,78201,Morales,Rosa,(210) 290-9279,Insurance,"$500,000-1 Million",6411-12,Insurance,
Conetic Software Systems Inc,1012 Navarro St,San Antonio,TX,78205,Garza,Andy,(210) 225-5185,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Confray, Martha Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Confray,Martha,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Conkelton, Clifford Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Conkelton,Clifford,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Conrad, Adelina Agt",9401 Burnet Rd,Austin,TX,78758,Conrad,Adelina,(512) 795-8401,Insurance,"Less Than $500,000",6411-12,Insurance,
"Constancio, Carlos Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Constancio,Carlos,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Continental General Ins Co,PO Box 26580,Austin,TX,78755,Scheper,Charles,(512) 531-1599,Insurance,$20-50 Million,6411-12,Insurance,
"Contreras, Debra Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Contreras,Debra,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Coordinated Financial Group,4801 Spicewd Spgs Rd # 200,Austin,TX,78759,Hughes,Mark,(512) 346-7962,Insurance,$2.5-5 Million,6411-12,Insurance,
"Copeland, Stephanie Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Copeland,Stephanie,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Cor Vel,3520 Executive Center Dr,Austin,TX,78731,,,(512) 418-0020,Workmen's Compensation Consultants,$1-2.5 Million,6411-12,Insurance,
"Corbin, Debbie Agt",9830 Colonnade Blvd # 400,San Antonio,TX,78230,Corbin,Debbie,(210) 691-4252,Insurance,"Less Than $500,000",6411-12,Insurance,
"Corley, Ezra Agt",14400 Northbrook Dr,San Antonio,TX,78232,Corley,Ezra,(210) 494-9955,Insurance,"Less Than $500,000",6411-12,Insurance,
Cornelius & Ellis Insurance,9600 Escarpment Blvd # 745-2,Austin,TX,78749,Cornelius,William,(512) 692-9451,Insurance,"Less Than $500,000",6411-12,Insurance,
"Corona, Carmen Agt",10101 Reunion Pl # 300,San Antonio,TX,78216,Corona,Carmen,(210) 384-5338,Insurance,"Less Than $500,000",6411-12,Insurance,
"Coronado, Monica Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Coronado,Monica,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Cortes Insurance,508 E Braker Ln,Austin,TX,78753,Cortes,Nadia,(512) 973-0303,Insurance,"Less Than $500,000",6411-12,Insurance,
"Cortez II, Juan Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Cortez Ii,Juan,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Cortez, Kristy Agt",4201 W Parmer Ln # A275,Austin,TX,78727,Cortez,Kristy,(512) 573-3711,Insurance,"Less Than $500,000",6411-12,Insurance,
"Cortez, Monica Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Cortez,Monica,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Cottingham & Butler,,Austin,TX,78736,,,(512) 301-5566,Insurance Agents Brokers & Service,"Less Than $500,000",6411-98,Insurance Agents Brokers & Service,
"Cotton-Shipp, Trenda Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Cotton-Shipp,Trenda,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Covantage Inc,12401 Research Blvd # I-210,Austin,TX,78759,Lapwing,Barbara,(512) 349-5519,Insurance,$5-10 Million,6411-12,Insurance,
Covarrubias Insurance Agency,7108 W Military Dr,San Antonio,TX,78227,,,(210) 673-4000,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Covarrubias, Alejandro Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Covarrubias,Alejandro,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Covin Insurance,21708 Hardy Oak Blvd # 104,San Antonio,TX,78258,Covin,Gary,(210) 497-8852,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Covin, Linda Agt",21720 Hardy Oak Blvd # 104,San Antonio,TX,78258,Covin,Linda,(210) 662-6601,Insurance,"Less Than $500,000",6411-12,Insurance,
CPS Texas,4131 Spicewood Springs Rd # L1,Austin,TX,78759,Hicks,James R,(512) 346-0934,Insurance,"$500,000-1 Million",6411-12,Insurance,
Cps Texas Insurance,8138 Forest Mesa Dr,Austin,TX,78759,Arbogust,Bob,(512) 346-0934,Insurance,"$500,000-1 Million",6411-12,Insurance,
Craig Lujan Insurance,2510 E Southcross Blvd,San Antonio,TX,78223,Lujan,C,(210) 532-5959,Insurance,"Less Than $500,000",6411-12,Insurance,
"Craig, David Agt",9311 San Pedro Ave # 600,San Antonio,TX,78216,Craig,David,(210) 321-7229,Insurance,"Less Than $500,000",6411-12,Insurance,
Crandall & Assoc Inc-Insurance,5406 Prue Rd,San Antonio,TX,78240,Crandall,Shirley,(210) 696-6062,Insurance,$1-2.5 Million,6411-12,Insurance,
"Crane, Michael Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Crane,Michael,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Cranfill, John Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Cranfill,John,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Crawford, Libbi Agt",PO Box 460729,San Antonio,TX,78246,Crawford,Libbi,(210) 342-8808,Insurance,"Less Than $500,000",6411-12,Insurance,
"Crayton, Jerome Agt",3511 Oakgate Dr,San Antonio,TX,78230,Crayton,Jerome,(210) 561-7781,Insurance,"Less Than $500,000",6411-12,Insurance,
Cris Frias Insurance Svc,8700 Crownhill Blvd # 506,San Antonio,TX,78209,Frias,Cris,(210) 822-3350,Insurance,"Less Than $500,000",6411-12,Insurance,
"Crockett, Barbara Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Crockett,Barbara,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Crockett, Lindsay Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Crockett,Lindsay,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Crosby, Amy Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Crosby,Amy,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Crouch Insurance Consulting,5929 Balcones Dr # 301,Austin,TX,78731,Crouch,Gregory,(512) 467-7299,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Crowder, Amanda Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Crowder,Amanda,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Crowel, Joseph Agt",9606 N Mopac Expy # 950,Austin,TX,78759,Crowel,Joseph,(512) 794-2300,Insurance,"Less Than $500,000",6411-12,Insurance,
"Crowson, Sally Agt",114 W 7th St # 700,Austin,TX,78701,Crowson,Sally,(512) 485-4800,Insurance,"Less Than $500,000",6411-12,Insurance,
Crump Insurance Svc Inc,2101 Wood Acre Ln,Austin,TX,78733,Shea,Patrick,(512) 263-2034,Insurance,"$500,000-1 Million",6411-12,Insurance,
Crunchymunchytogo Limited,15108 Thatcher Dr,Austin,TX,78717,Gadgil,Prashant K,(512) 248-1524,Insurance,"Less Than $500,000",6411-12,Insurance,
Cuellar & Assoc LLC,11550 W Interstate 10 # 150,San Antonio,TX,78230,Cuellar,Roland,(210) 558-0811,Insurance,$2.5-5 Million,6411-12,Insurance,
"Cuevas, Amanda Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Cuevas,Amanda,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Curiel, C Agt",,San Antonio,TX,78218,Curiel,C,(210) 912-3731,Insurance,"Less Than $500,000",6411-12,Insurance,
